,title,country,clean_description,listed_in_clean,cast_clean,combined
8159,teenage mutant ninja turtles ii: the secret of the ooze,"United States, Hong Kong",evil shredder ooze power toxic junk dangerous,children family movies comedies,paige turco david warner mark caso michelan sisti leif tilden kenn scott kevin clash ernie reyes jr. françois chau kevin nash,evil shredder ooze power toxic junk dangerous children family movies comedies paige turco david warner mark caso michelan sisti leif tilden kenn scott kevin clash ernie reyes jr. françois chau kevin nash
8160,teenage mutant ninja turtles: the movie,,exposure strange glowing ooze four mutant train fight crime wherever find,action adventure comedies,judith hoag elias koteas josh pais michelan sisti leif tilden david forman michael turney jay patterson raymond serra james saito kevin clash,exposure strange glowing ooze four mutant train fight crime wherever find action adventure comedies judith hoag elias koteas josh pais michelan sisti leif tilden david forman michael turney jay patterson raymond serra james saito kevin clash
8161,tees maar khan,India,flamboyant con artist band gleeful gamble fate hire swipe speeding train,comedies international movies music musicals,katrina kaif akshay kumar akshaye khanna arya babbar rajiv lakshman raghu ram vijay maurya dharampal ali asghar murli sharma,flamboyant con artist band gleeful gamble fate hire swipe speeding train comedies international movies music musicals katrina kaif akshay kumar akshaye khanna arya babbar rajiv lakshman raghu ram vijay maurya dharampal ali asghar murli sharma
8162,tellur aliens,"United States, Kazakhstan",three best planet begin incredible journey adventure fight evil universe,children family movies,nan,three best planet begin incredible journey adventure fight evil universe children family movies nan
8163,temporada de caza,"Argentina, France, United States, Germany, Qatar",animosity way love forgiveness angry biological father,dramas international movies,germán palacios lautaro bettoni boy olmi rita pauls pilar benitez vibart diana szeinblum,animosity way love forgiveness angry biological father dramas international movies germán palacios lautaro bettoni boy olmi rita pauls pilar benitez vibart diana szeinblum
8164,ten years,Hong Kong,five short reveal fictional hong city face rule,dramas independent movies international movies,wong jing lau ho-chi leung kin-ping,five short reveal fictional hong city face rule dramas independent movies international movies wong jing lau ho-chi leung kin-ping
8165,teresa,Mexico,want much far willing go get,international shows romantic shows spanish-language shows,angelique boyer sebastián rulli aarón díaz cynthia klitbo ana brenda contreras daniel arenas margarita magaña manuel landeta felicia mercado silvia mariscal,want much far willing go get international shows romantic shows spanish-language shows angelique boyer sebastián rulli aarón díaz cynthia klitbo ana brenda contreras daniel arenas margarita magaña manuel landeta felicia mercado silvia mariscal
8166,terminator 3: rise of the machines,"United States, Germany, United Kingdom",ten saved earth judgment day assassin ordered finish,action adventure sci-fi fantasy,arnold schwarzenegger nick stahl claire danes kristanna loken david andrews mark famiglietti earl boen moira sinise chopper bernet christopher lawford,ten saved earth judgment day assassin ordered finish action adventure sci-fi fantasy arnold schwarzenegger nick stahl claire danes kristanna loken david andrews mark famiglietti earl boen moira sinise chopper bernet christopher lawford
8167,terminator salvation,"United States, Germany, United Kingdom, Italy",grown must lead resistance increasingly militaristic,action adventure sci-fi fantasy,christian bale sam worthington moon bloodgood helena bonham carter anton yelchin jadagrace bryce dallas howard common jane alexander michael ironside,grown must lead resistance increasingly militaristic action adventure sci-fi fantasy christian bale sam worthington moon bloodgood helena bonham carter anton yelchin jadagrace bryce dallas howard common jane alexander michael ironside
8168,terra,France,visually arresting documentary essay relationship living humanity becomes isolated nature,documentaries international movies,vanessa paradis,visually arresting documentary essay relationship living humanity becomes isolated nature documentaries international movies vanessa paradis
8169,terrifier,United States,night inside dilapidated apartment building art clown slicing terrifying silence,horror movies independent movies thrillers,jenna kanell samantha scaffidi david howard thornton catherine corcoran pooya mohseni matt mcallister katie maguire gino cafarelli cory duval michael leavy,night inside dilapidated apartment building art clown slicing terrifying silence horror movies independent movies thrillers jenna kanell samantha scaffidi david howard thornton catherine corcoran pooya mohseni matt mcallister katie maguire gino cafarelli cory duval michael leavy
8170,teshan,India,new appear horizon simple country boy bond sophisticated urban girl modern,comedies international movies romantic movies,happy raikoti diljott prince kanwaljit singh karamjit anmol harinder bhullar virast sandhu anita devgan simran sehajpal,new appear horizon simple country boy bond sophisticated urban girl modern comedies international movies romantic movies happy raikoti diljott prince kanwaljit singh karamjit anmol harinder bhullar virast sandhu anita devgan simran sehajpal
8171,tezz,"United Kingdom, India",thriller story man mission reclaim taken agent determined stop,action adventure international movies music musicals,anil kapoor ajay devgn boman irani kangna ranaut zayed khan mallika sherawat avika gor dominic power sameera reddy mohanlal,thriller story man mission reclaim taken agent determined stop action adventure international movies music musicals anil kapoor ajay devgn boman irani kangna ranaut zayed khan mallika sherawat avika gor dominic power sameera reddy mohanlal
8172,th eena meena deeka chase comedy show,India,hungry fox three resourceful surprisingly formidable turn animal kingdom head lively animated series,kids comedies,sanjay keni priya raina,hungry fox three resourceful surprisingly formidable turn animal kingdom head lively animated series kids comedies sanjay keni priya raina
8173,thackeray,India,controversial cartoonist powerful politician meteoric rise shiv party founder bal,shows,nan,controversial cartoonist powerful politician meteoric rise shiv party founder bal shows nan
8174,that '70s show,United States,feel groovy suburbia teen basement listening rock indulging hazy culture,comedies,topher grace mila kunis ashton kutcher danny masterson laura prepon wilmer valderrama debra jo rupp kurtwood smith don stark tanya roberts tommy chong lisa robin kelly,feel groovy suburbia teen basement listening rock indulging hazy culture comedies topher grace mila kunis ashton kutcher danny masterson laura prepon wilmer valderrama debra jo rupp kurtwood smith don stark tanya roberts tommy chong lisa robin kelly
8175,the 2000s,United States,examine cultural technological millennium first decade,docuseries,nan,examine cultural technological millennium first decade docuseries nan
